id,TK,SeebeckuVK,kappaZT,Resist.400K,Seebeck400K,PfWK2m,ZT,kappaWmK,CellVolumeA3,FormulaUnitsperCell
51,300,-180,4.86E-02,0.0215409,-203.88,1.62E-04,0.01944,2.5,208.21,4
52,400,-203.88,7.72E-02,0.021541,-203.88,1.93E-04,0.03719487,2.07513,208.21,4
53,700,-234.57,1.36E-01,0.021541,-203.88,1.94E-04,0.083293437,1.63069,208.21,4
54,1000,-248.22,2.00E-01,0.021541,-203.88,2.00E-04,0.144503757,1.38075,208.21,4
55,400,-153.66,5.14E-02,0.01837,-153.66,1.29E-04,0.20,4.22,208.21,4
56,700,-195.78,1.11E-01,0.018366,-153.66,1.59E-04,0.20,4.22,208.21,4
57,1000,-213.72,1.63E-01,0.018366,-153.66,1.63E-04,0.20,4.22,208.21,4
58,400,-119.99,7.66E-02,0.007521,-119.99,1.91E-04,0.020374273,3.75786,208.21,4
59,700,-137.22,1.29E-01,0.007521,-119.99,1.85E-04,0.039949192,3.23973,208.21,4
60,1000,-152.89,1.84E-01,0.007521,-119.99,1.84E-04,0.063883122,2.88165,208.21,4
61,400,-101.6,6.25E-02,0.006602,-101.6,1.56E-04,0.20,4.22,208.21,4
62,700,-122.22,1.17E-01,0.006602,-101.6,1.67E-04,0.20,4.22,208.21,4
63,1000,-144.55,1.83E-01,0.006602,-101.6,1.83E-04,0.20,4.22,208.21,4
64,400,-60.57,3.71E-02,0.003956,-60.57,9.27E-05,0.20,4.22,210.36,4
65,700,-81.62,8.81E-02,0.003956,-60.57,1.26E-04,0.20,4.22,210.36,4
66,1000,-101.82,1.54E-01,0.003956,-60.57,1.54E-04,0.20,4.22,210.36,4
67,400,-35.67,1.64E-02,0.003105,-35.67,4.10E-05,0.20,4.22,210.36,4
68,700,-55.87,5.42E-02,0.003105,-35.67,7.75E-05,0.20,4.22,210.36,4
69,1000,-67.87,9.13E-02,0.003105,-35.67,9.13E-05,0.20,4.22,210.36,4
70,300,-211.97,4.41E-02,0.027541,-215.39,1.47E-04,0.20,4.22,210.36,4
71,400,-215.39,6.74E-02,0.027541,-215.39,1.68E-04,0.20,4.22,210.36,4
72,700,-227.92,1.65E-01,0.027541,-215.39,2.35E-04,0.20,4.22,210.36,4
