T (K),Z*10^-4 reported,Resist. (Ohm.cm),Seebeck (uV/K),kappaZT,,Resist. (400K),Seebeck (400K),Pf (W/K^2/m),ZT,kappa (W/mK),T Max,,,Conduct. (S/cm),,Power Factor*T (W/mK),Cell Volume (A^3),Formula Units per Cell,Atoms per formula unit,total atoms per unit cell,average atomic volume,temp of ICSD (K),S,ke/ktotal,
400,0.85,0.009823585,-114.15,5.31E-02,0.045995571,0.009824,-114.15,1.33E-04,0.024563669,2.16005,0.61,0.045995571,0.045995571,1.02E+02,0.045995571,5.31E-02,206.97,4,5,20,10.3485,300,1.30E+04,0.0459955,0.045995571
700,0.85,0.012502015,-164.08,1.51E-01,0.072727166,0.009824,-114.15,2.15E-04,0.080246985,1.8785,0.61,0.072727166,0.072727166,8.00E+01,0.072727166,1.51E-01,206.97,4,5,20,10.3485,300,2.69E+04,0.0727271,0.072727166
1000,0.85,0.014545545,-172.3,2.04E-01,0.099442146,0.009824,-114.15,2.04E-04,0.120991889,1.6869,0.61,0.099442146,0.099442146,6.88E+01,0.099442146,2.04E-01,206.97,4,5,20,10.3485,300,2.97E+04,0.09944,0.099442146
300,0.85,0.007325377,-72.23,2.14E-02,0.91,0.007258,-72.44,7.12E-05,0.20,4.22,0.61,0.91,0.91,1.37E+02,0.91,2.14E-02,206.97,4,5,20,10.3485,300,5.22E+03,0.91,0.91
400,0.85,0.007257717,-72.44,2.89E-02,0.91,0.007258,-72.44,7.23E-05,0.20,4.22,0.61,0.91,0.91,1.38E+02,0.91,2.89E-02,206.97,4,5,20,10.3485,300,5.25E+03,0.91,0.91
700,0.85,0.007633259,-80.65,5.97E-02,0.91,0.007258,-72.44,8.52E-05,0.20,4.22,0.61,0.91,0.91,1.31E+02,0.91,5.97E-02,206.97,4,5,20,10.3485,300,6.50E+03,0.91,0.91
1000,0.85,0.008303286,-92.67,1.03E-01,0.91,0.007258,-72.44,1.03E-04,0.20,4.22,0.61,0.91,0.91,1.20E+02,0.91,1.03E-01,206.97,4,5,20,10.3485,300,8.59E+03,0.91,0.91
300,0.85,0.02,-180,4.86E-02,0.01464,0.0215409,-203.88,1.62E-04,0.01944,2.5,0.61,0.01464,0.01464,5.00E+01,0.01464,4.86E-02,208.21,4,5,20,10.4105,298,3.24E+04,0.01464,0.01464
400,0.85,0.0215409,-203.88,7.72E-02,0.02183437,0.021541,-203.88,1.93E-04,0.03719487,2.07513,0.61,0.02183437,0.02183437,4.64E+01,0.02183437,7.72E-02,208.21,4,5,20,10.4105,298,4.16E+04,0.02183,0.02183437
700,0.85,0.028358,-234.57,1.36E-01,0.036935234,0.021541,-203.88,1.94E-04,0.083293437,1.63069,0.61,0.036935234,0.036935234,3.53E+01,0.036935234,1.36E-01,208.21,4,5,20,10.4105,298,5.50E+04,0.03935,0.036935234
1000,0.85,0.0308794,-248.22,2.00E-01,0.057227651,0.021541,-203.88,2.00E-04,0.144503757,1.38075,0.61,0.057227651,0.057227651,3.24E+01,0.057227651,2.00E-01,208.21,4,5,20,10.4105,298,6.16E+04,0.057227,0.057227651
400,0.85,0.0183658,-153.66,5.14E-02,0.91,0.01837,-153.66,1.29E-04,0.20,4.22,0.61,0.91,0.91,5.44E+01,0.91,5.14E-02,208.21,4,5,20,10.4105,298,2.36E+04,0.91,0.91
700,0.85,0.0241829,-195.78,1.11E-01,0.91,0.018366,-153.66,1.59E-04,0.20,4.22,0.61,0.91,0.91,4.14E+01,0.91,1.11E-01,208.21,4,5,20,10.4105,298,3.83E+04,0.91,0.91
1000,0.85,0.0279999,-213.72,1.63E-01,0.91,0.018366,-153.66,1.63E-04,0.20,4.22,0.61,0.91,0.91,3.57E+01,0.91,1.63E-01,208.21,4,5,20,10.4105,298,4.57E+04,0.91,0.91
400,0.85,0.00752127,-119.99,7.66E-02,0.034531707,0.007521,-119.99,1.91E-04,0.020374273,3.75786,0.61,0.034531707,0.034531707,1.33E+02,0.034531707,7.66E-02,208.21,4,5,20,10.4105,298,1.44E+04,0.03453,0.034531707
